Feature,Importance
Tenure,0.20459588
Complain,0.11565251
DaySinceLastOrder,0.060066797
MaritalStatus,0.057673503
PreferedOrderCat,0.05366539
SatisfactionScore,0.05114084
NumberOfAddress,0.050535932
CouponUsed,0.05021534
CityTier,0.048299108
CashbackAmount,0.047098767
PreferredLoginDevice,0.042043667
NumberOfDeviceRegistered,0.035995524
WarehouseToHome,0.034903355
Gender,0.031199327
PreferredPaymentMode,0.030920813
HourSpendOnApp,0.03072934
OrderCount,0.02957664
OrderAmountHikeFromlastYear,0.025687238
